,Comment Time,positive,neutral,negative,total,positive_rate,negative_rate
0,2021-08-29,9,22,33,64,0.140625,0.515625
1,2021-08-30,6,25,41,72,0.08333333333333333,0.5694444444444444
2,2022-01-18,30,84,57,171,0.17543859649122806,0.3333333333333333
3,2022-01-19,102,273,172,547,0.18647166361974407,0.31444241316270566
4,2022-01-20,6,10,3,19,0.3157894736842105,0.15789473684210525
5,2022-01-21,4,9,5,18,0.2222222222222222,0.2777777777777778
6,2022-01-22,1,0,1,2,0.5,0.5
7,2022-02-21,6,40,34,80,0.075,0.425
8,2022-02-22,7,26,15,48,0.14583333333333334,0.3125
9,2022-03-04,0,0,1,1,0.0,1.0
10,2022-03-09,4,37,28,69,0.057971014492753624,0.4057971014492754
11,2022-03-10,2,33,21,56,0.03571428571428571,0.375
12,2022-03-11,0,1,0,1,0.0,0.0
13,2022-07-06,1,9,7,17,0.058823529411764705,0.4117647058823529
14,2022-07-07,0,4,2,6,0.0,0.3333333333333333
15,2022-07-08,0,0,1,1,0.0,1.0
16,2022-10-16,0,7,2,9,0.0,0.2222222222222222
17,2022-10-17,2,6,2,10,0.2,0.2
18,2022-11-23,0,2,1,3,0.0,0.3333333333333333
19,2022-11-24,2,19,7,28,0.07142857142857142,0.25
20,2022-11-25,1,7,7,15,0.06666666666666667,0.4666666666666667
21,2022-11-26,1,2,1,4,0.25,0.25
22,2022-11-28,0,1,0,1,0.0,0.0
23,2022-12-08,2,11,7,20,0.1,0.35
24,2022-12-09,1,5,3,9,0.1111111111111111,0.3333333333333333
25,2022-12-10,0,0,1,1,0.0,1.0
26,2023-04-26,41,193,168,402,0.10199004975124377,0.417910447761194
27,2023-04-27,11,22,15,48,0.22916666666666666,0.3125
28,2023-04-28,1,1,2,4,0.25,0.5
29,2023-04-29,0,0,1,1,0.0,1.0
30,2023-05-01,5,5,8,18,0.2777777777777778,0.4444444444444444
31,2023-05-02,0,7,4,11,0.0,0.36363636363636365
32,2023-05-03,0,0,1,1,0.0,1.0
33,2023-05-07,1,0,0,1,1.0,0.0
34,2023-05-15,4,21,12,37,0.10810810810810811,0.32432432432432434
35,2023-05-16,3,12,2,17,0.17647058823529413,0.11764705882352941
36,2023-05-17,0,2,2,4,0.0,0.5
37,2023-05-22,1,0,0,1,1.0,0.0
38,2023-06-12,4,38,35,77,0.05194805194805195,0.45454545454545453
39,2023-06-13,17,55,40,112,0.15178571428571427,0.35714285714285715
40,2023-06-14,1,5,4,10,0.1,0.4
41,2023-06-15,0,1,1,2,0.0,0.5
42,2023-06-17,0,1,0,1,0.0,0.0
43,2023-06-29,4,15,12,31,0.12903225806451613,0.3870967741935484
44,2023-06-30,4,0,1,5,0.8,0.2
45,2023-07-11,14,33,15,62,0.22580645161290322,0.24193548387096775
46,2023-07-12,3,13,8,24,0.125,0.3333333333333333
47,2023-07-13,0,1,0,1,0.0,0.0
48,2023-07-15,0,3,1,4,0.0,0.25
49,2023-07-16,5,23,4,32,0.15625,0.125
50,2023-07-17,0,2,0,2,0.0,0.0
51,2023-10-13,9,17,5,31,0.2903225806451613,0.16129032258064516
52,2023-10-14,10,13,11,34,0.29411764705882354,0.3235294117647059
53,2023-10-15,1,5,1,7,0.14285714285714285,0.14285714285714285
54,2023-10-18,0,1,0,1,0.0,0.0
55,2023-10-31,5,4,3,12,0.4166666666666667,0.25
56,2023-11-01,14,29,21,64,0.21875,0.328125
57,2023-11-02,1,4,1,6,0.16666666666666666,0.16666666666666666
58,2023-11-06,0,1,0,1,0.0,0.0
